Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
keratin-shampoo-sampler,Keratin Shampoo Sampler,"<br/> Contains 25 ml <br/><br/>Be Bodywise shampoo is enriched with keratin, biotin, caffeine & other nutrients, carefully developed to make your hair stronger, healthier & hair fall resistant<br/><br",Be Bodywise,,Hair,"hair, keratin, shampoo, trial, biotin, straight, wavy, Be Bodywise, hair",TRUE,Title,Default Title,keratin-shampoo-sampler,0,shopify,100,continue,manual,99,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/keratin-shampoo-sampler/Sample_fv_DQmEMkGPB.png?tr=w-600,1,Keratin Shampoo Sampler,FALSE,Keratin Shampoo Sampler,,,,,,new,FALSE,,,,,,,g,,,TRUE,99,,active,hair,female,"female-18-25,female-25-35,female-35-plus",79,"keratin,shampoo,trial,biotin,straight,wavy"
10-aha-body-scrub,10% AHA Body Scrub,<p>Our 10% AHA Body Scrub combines the power of chemical and physical exfoliation to target stubborn skin concerns.<br/><br/>➡️<b>Reduce Strawberry Skin</b>: Dual exfoliation effectively reduces the appe</p>,Be Bodywise,,Skin,"skin, aha, bestseller, bestseller_body, scrub, Be Bodywise, skin",TRUE,Title,Default Title,10-aha-body-scrub,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_12_AHAScrub200g_f92y3a.jpg?tr=w-600,1,10% AHA Body Scrub,FALSE,10% AHA Body Scrub,,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"aha,bestseller,bestseller_body,scrub"
pcos-testing-qa-copy,PCOS QA Test,"<br/>Be Bodywise PCOS tablets contains a potent blend of 18 ayurvedic herbs including shatavari, a well known & proven ingredient for managing PCOS symptoms<br/><br/><b>▶ Regulates period cycle </b><b",Be Bodywise,,Hormones,"hormones, Be Bodywise, hormones",TRUE,Title,Default Title,pcos-testing-qa-copy,0,shopify,100,continue,manual,100,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1629878061/staging/products/PCOS%20Balance%20Capsule/Carousel/Updated2/1.png?tr=w-800,1,PCOS QA Test,FALSE,PCOS QA Test,,,,,,new,FALSE,,,,,,,g,,,TRUE,100,,active,hormones,female,"female-18-25,female-25-35,female-35-plus",70,
10-niacinamide-body-lotion-sample,10% Niacinamide Lotion Mini (30ml),<b>▶ Repairs moisture barrier: </b>Niacinamide & aloe assist in keeping the natural barrier of the skin healthy & repairing compromised barrier<br/><br/><b>▶ Reduces acne marks & blemishes: </b> 10% N,Be Bodywise,,Skin,"skin, niacinamide, lotion, trial, normal, oily, sensitive, Be Bodywise, skin",TRUE,Title,Default Title,10-niacinamide-body-lotion-sample,0,shopify,100,continue,manual,49,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/10-niacinamide-body-lotion-sample/8__1__guU8Y_LOq.png?tr=w-600,1,10% Niacinamide Lotion Mini (30ml),FALSE,10% Niacinamide Lotion Mini (30ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,49,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",78,"niacinamide,lotion,trial,normal,oily,sensitive"
hair-health-gummies-xp,Hair Biotin Gummies (30),"<p>👩‍⚕️ Expert-recommended solution for <b> Stage 1 Hair Loss</b><br/><br/>Be Bodywise Hair Gummies are packed with <b> Biotin, Zinc & essential hair Multivitamins, </b> which will give you the right nut</p>",Be Bodywise,,Hair,"hair, straight, wavy, curly, coloured, chemically treated, hair fall & thinning, Be Bodywise, hair",TRUE,Title,Default Title,hair-health-gummies-xp,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/hair-health-gummies/4%25AHABHARollOn%20%281%29_hk8vt2.jpg?tr=w-600,1,Hair Biotin Gummies (30),FALSE,Hair Biotin Gummies (30),,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,hair,female,"female-18-25,female-25-35,female-35-plus",84,"straight,wavy,curly,coloured,chemically treated,hair fall & thinning"
5-lactic-acid-body-lotion-sample,5% Lactic Acid Body Lotion Mini (30ml),<br/><b><u>▶ Improvement in texture :</u></b> Lactic Acid- a potent AHA  helps remove the accumulated dead cells on skin and stimulates cell renewal which helps reduce bumps and enhance texture <br/><,Be Bodywise,,Skin,"skin, normal, oily, sensitive, combination, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,5-lactic-acid-body-lotion-sample,0,shopify,100,continue,manual,49,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/5-lactic-acid-body-lotion-sample/9_86nSrNjXRS.png?tr=w-600,1,5% Lactic Acid Body Lotion Mini (30ml),FALSE,5% Lactic Acid Body Lotion Mini (30ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,49,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"normal,oily,sensitive,combination,pores / blackheads / whiteheads,acne / pimples"
benzoyl-peroxide-facewash,2.5% Benzoyl Peroxide Facewash,"<p>If your acne is <b>persisetent, severe, painful, red, inflammed</b>, then our 2.5% Benzoyl Peroxide facewash can help.<br/><br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skin,female,"female-18-25,female-25-35,female-35-plus",70,"benzoyl peroxide,facewash,acne"
"This creamy-non foaming facewash is <b>non-drying</b> unlike other Ben</p>,Be Bodywise,,Skin,skin",benzoyl peroxide,facewash,acne,Be Bodywise,"skin,TRUE,Title,Default Title,benzoyl-peroxide-facewash,0,shopify,100,continue,manual,349,396,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_BenzPFW%20%281%29_fmfhn3.png?tr=w-600,1,2.5% Benzoyl Peroxide Facewash,FALSE,2.5% Benzoyl Peroxide Facewash,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,396,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pigmentation-repair-cream,Pigmentation Repair Cream,"<p>This <b>Pigmentation Repair Cream</b> targets dark patches and rough skin in body folds like the<b> neck, knees, elbows, underarms</b>, and <b>thighs.</b><br/><br/>A targeted, science-backed cream des</p>",Be Bodywise,,Skin,"skin, lactic acid, cream, retinol, kojic acid, oily, sensitive, Be Bodywise, skin",TRUE,Title,Default Title,pigmentation-repair-cream,0,shopify,100,continue,manual,599,644,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_PRC_eilf4y.jpg?tr=w-600,1,Pigmentation Repair Cream,FALSE,Pigmentation Repair Cream,,,,,,new,FALSE,,,,,,,g,,,TRUE,599,644,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"lactic acid,cream,retinol,kojic acid,oily,sensitive"
body-pigmentation-pack,Body Pigmentation Pack,"<p>Body Pigmentation Pack is a non-greasy formulation packed with<b> Lactic Acid, Urea, Niacinamide and  Aloe Vera extract! 💯</b><br/><br/>➡️ Contains <b> 5% Niacinamide Bodywash & Pigmentation Repair Cr</p>",Be Bodywise,,Skin,"skin, normal, oily, sensitive, combination, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,body-pigmentation-pack,0,shopify,100,continue,manual,899,1045,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/body-pigmentation-pack/Artboard%201%20%287%29_9gmbrx.jpg?tr=w-600,1,Body Pigmentation Pack,FALSE,Body Pigmentation Pack,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,1045,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"normal,oily,sensitive,combination,pores / blackheads / whiteheads,acne / pimples"
5-niacinamide-bodywash-sampler,Niacinamide Body Wash (Mini),"<b>5% Niacinamide Body Wash for Women deep cleanses the skin, removes dry patches, strengthens your skin's moisture barrier and leaves you hydrated & refreshed with every use</b><br/><br/><b>▶Deep cle",Be Bodywise,,Skin,"skin, niacinamide, bodywash, trial, aloe vera, Be Bodywise, skin",TRUE,Title,Default Title,5-niacinamide-bodywash-sampler,0,shopify,100,continue,manual,59,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/5-niacinamide-bodywash-sampler/Bodywash%20fv%20%281%29_5ozjml.png?tr=w-600,1,Niacinamide Body Wash (Mini),FALSE,Niacinamide Body Wash (Mini),,,,,,new,FALSE,,,,,,,g,,,TRUE,59,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"niacinamide,bodywash,trial,aloe vera"
ice-roller,Ice Roller | 1 N,"<p>Be Bodywise <b>Ice Roller is here to refresh and relax your skin, giving you a perfect pick-me-up whenever needed!</b>🧊<br/><br/>Use consistently for at least 3 months for best results<br/>😁Reduces fa</p>",Be Bodywise,,Skin,"skin, roller, tool, dull-dry-skin, Be Bodywise, skin",TRUE,Title,Default Title,ice-roller,0,shopify,100,continue,manual,349,498,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/ice-roller/Artboard%201%20%288%29_a8kf19.jpg?tr=w-600,1,Ice Roller | 1 N,FALSE,Ice Roller | 1 N,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,498,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"roller,tool,dull-dry-skin"
4-aha-bha-underarm-roll-on-watermelon,4% AHA BHA Watermelon Underarm Roll On,<p>Want to feel fresh & <b>odour-free</b> all day?🤩 <br/><br/>Our 4% AHA BHA Underarm Roll On is <b>100% safe</b> with <b>0% Alcohol</b> & <b>0% Aluminium</b>. It helps to: <br/><br/>🌟 <b> Control body o</p>,Be Bodywise,,Skin,"skin, watermelon, aha bha, roll on, underarms, Be Bodywise, skin",TRUE,Title,Default Title,4-aha-bha-underarm-roll-on-watermelon,0,shopify,100,continue,manual,349,396,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_UARO_Watermelon_61ripo.jpg?tr=w-600,1,4% AHA BHA Watermelon Underarm Roll On,FALSE,4% AHA BHA Watermelon Underarm Roll On,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,396,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"watermelon,aha bha,roll on,underarms"
4-aha-bha-underarm-roll-on-no-fragrance,4% AHA BHA Underarm Roll On - No Fragrance,<p>Want to feel fresh & <b>odour-free</b> all day?🤩 <br/><br/>Our 4% AHA BHA Underarm Roll On is <b>100% safe</b> with <b>0% Alcohol</b> & <b>0% Aluminium</b>. It helps to:<br/><br/>🌟 <b> Control body od</p>,Be Bodywise,,Skin,"skin, aha bha, roll on, underarms, Be Bodywise, skin",TRUE,Title,Default Title,4-aha-bha-underarm-roll-on-no-fragrance,0,shopify,100,continue,manual,349,396,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_UARO_FF_3u8hbl.jpg?tr=w-600,1,4% AHA BHA Underarm Roll On - No Fragrance,FALSE,4% AHA BHA Underarm Roll On - No Fragrance,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,396,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"aha bha,roll on,underarms"
biotin-hair-gummies-breastfeeding-moms-30n,Hair Gummies for Postpartum Hair Fall (30N),"<p>Clinically Tested solution for <b>Hair Fall</b><br/><br/> Specially made for <b> 👩🏻‍🍼breastfeeding mothers </b> suffering from <b> post-pregnancy hair fall,</b> Be Bodywise Hair Gummies are packed wit</p>",Be Bodywise,,Hair,"hair, straight, wavy, curly, coloured, chemically treated, tangled hair, Be Bodywise, hair",TRUE,Title,Default Title,biotin-hair-gummies-breastfeeding-moms-30n,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/biotin-hair-gummies-breastfeeding-moms-30n/4%25AHABHARollOn%20%281%29_4k112i.jpg?tr=w-600,1,Hair Gummies for Postpartum Hair Fall (30N),FALSE,Hair Gummies for Postpartum Hair Fall (30N),,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,hair,female,"female-18-25,female-25-35,female-35-plus",84,"straight,wavy,curly,coloured,chemically treated,tangled hair"
underarm-pigmentation-kit,Underarm Pigmentation Kit,<p>Want to reduce underarm odour and pigmentation significantly in 3 months? 🤩<br><br>This solution is right for you if ✅<br><br>▶ If you want to control/ prevent underarm odour<br>▶ If your underarm are</p>,Be Bodywise,,Skin,"skin, oily, sensitive, combination, pores / blackheads / whiteheads, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,underarm-pigmentation-kit,0,shopify,100,continue,manual,899,1045,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/4-aha-bha-underarm-roll-on/1000x750__1__7YL17GLnR.jpg?tr=w-600,1,Underarm Pigmentation Kit,FALSE,Underarm Pigmentation Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,1045,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"oily,sensitive,combination,pores / blackheads / whiteheads,pores / blackheads / whiteheads,acne / pimples"
underarm-pigmentation-kit-watermelon,Underarm Pigmentation Kit - Watermelon,<p>Want to reduce underarm odour and pigmentation significantly in 3 months? 🤩<br><br>This solution is right for you if ✅<br><br>▶ If you want to control/ prevent underarm odour<br>▶ If your underarm are</p>,Be Bodywise,,Skin,"skin, oily, sensitive, combination, pores / blackheads / whiteheads, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,underarm-pigmentation-kit-watermelon,0,shopify,100,continue,manual,899,1045,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/4-aha-bha-underarm-roll-on/1000x750__1__7YL17GLnR.jpg?tr=w-600,1,Underarm Pigmentation Kit - Watermelon,FALSE,Underarm Pigmentation Kit - Watermelon,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,1045,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"oily,sensitive,combination,pores / blackheads / whiteheads,pores / blackheads / whiteheads,acne / pimples"
skin-clarifying-5,5% Niacinamide Face Serum,<br/><b>Water-based</b> 5% Niacinamide serum to brighten skin & fade acne marks/ blemishes. <b>Ideal for people with sensitive skin</b> and those who find 10% Niacinamide strong</b>.<br/><br/>👉<b>Even,Be Bodywise,,Skin,"skin, wrinkles, Be Bodywise, skin",TRUE,Title,Default Title,skin-clarifying-5,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/skin-clarifying-5/Product_Hero%20%286%29_emk3zw.jpg?tr=w-600,1,5% Niacinamide Face Serum,FALSE,5% Niacinamide Face Serum,,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,wrinkles
pigmentation-repair-cream-mini,Pigmentation Repair Cream - 25 ml (Mini),"<p>Want to decrease Body Pigmentation in 3 months? 🤩 <br/> <br/>Our Pigmentation Cream reduces pigmentation in <b>body folds like elbows, knees, back of neck, thighs.</b> It helps to:<br/><br/><b>✅ Fade </p>",Be Bodywise,,Skin,"skin, oily, sensitive, combination, pores / blackheads / whiteheads, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,pigmentation-repair-cream-mini,0,shopify,100,continue,manual,59,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/pigmentation-repair-cream-mini/Tube%20%20fv%20%281%29_9wo7v3.png?tr=w-600,1,Pigmentation Repair Cream - 25 ml (Mini),FALSE,Pigmentation Repair Cream - 25 ml (Mini),,,,,,new,FALSE,,,,,,,g,,,TRUE,59,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"oily,sensitive,combination,pores / blackheads / whiteheads,pores / blackheads / whiteheads,acne / pimples"
4-aha-bha-body-butter,4% AHA BHA Body Butter,"<p>Meet the <b>4% AHA BHA Body Butter</b> - a creamy and nourishing formula enriched with the goodness of 2% Salicylic Acid, 1% Lactic Acid, Essential Ceramides, Shea Butter & Cocoa Butter 🌟<br/><br/>▶Vi</p>",Be Bodywise,,Skin,"skin, aha bha, body butter, cream, Be Bodywise, skin",TRUE,Title,Default Title,4-aha-bha-body-butter,0,shopify,100,continue,manual,599,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_AHABHABodyButter_cxkak1.jpg?tr=w-600,1,4% AHA BHA Body Butter,FALSE,4% AHA BHA Body Butter,,,,,,new,FALSE,,,,,,,g,,,TRUE,599,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"aha bha,body butter,cream"
anti-dandruff-serum,Anti-Dandruff Serum,"<p>👩‍⚕️Clinically Tested solution for Severe Dandruff <br/><br/>Be Bodywise Anti-Dandruff Serum contains <b> Science backed ingredients like Ichthyol Pale, Zinc Pyrithione, & Tea Tree Oil.</b><br/><br/>✅</p>",Be Bodywise,,Hair,"hair, tea tree oil, ichthyol pale, zinc pyrithione, serum, dandruff, Be Bodywise, hair",TRUE,Title,Default Title,anti-dandruff-serum,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/AppThumbnail_AntiDandruffSerum_cxhczj.jpg?tr=w-600,1,Anti-Dandruff Serum,FALSE,Anti-Dandruff Serum,,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,hair,female,"female-18-25,female-25-35,female-35-plus",70,"tea tree oil,ichthyol pale,zinc pyrithione,serum,dandruff"
snail-mucin-serum-mini,Snail Mucin Serum - 4 ml,<b>Snail 96 Mucin Serum is a non-comedogenic formula that helps repair your skin barrier leaving your skin radiant and dewy 🌟</b><br/><br/>This Korean skincare secret specifically made for all Indian,Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,snail-mucin-serum-mini,0,shopify,100,continue,manual,99,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/snail-mucin-serum-mini/Snail%20Face%20serum%20fv_5bmp4m.png?tr=w-600,1,Snail Mucin Serum - 4 ml,FALSE,Snail Mucin Serum - 4 ml,,,,,,new,FALSE,,,,,,,g,,,TRUE,99,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
hyaluronic-acid-body-wash-mini,Hyaluronic Bodywash - Mini,"<b>Hyaluronic Acid Body Wash for Women</b> deep cleanses the skin, soothes itchy skin, revives dry skin and protects the skin's barrier.<br/><br/>▶<b>Deep cleanses skin:</b> This hydrating body wash d",Be Bodywise,,Skin,"skin, hyaluronic acid, bodywash, trial, oily, sensitive, combination, Be Bodywise, skin",TRUE,Title,Default Title,hyaluronic-acid-body-wash-mini,0,shopify,100,continue,manual,59,98,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/hyaluronic-acid-body-wash-mini/Bottle%20fv%20%285%29%20%281%29_ehpkbq.png?tr=w-600,1,Hyaluronic Bodywash - Mini,FALSE,Hyaluronic Bodywash - Mini,,,,,,new,FALSE,,,,,,,g,,,TRUE,59,98,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"hyaluronic acid,bodywash,trial,oily,sensitive,combination"
roll-on-flora-wm,Roll On Flora & Watermelon (Pack of 2),<p>Want to feel fresh & odour-free <b>all day</b>?🤩 <br/><br/>Our 4% AHA BHA Underarm Roll On helps to: <br/><br/>🌟 <b> Control body odour</b>: 1% Salicylic Acid reduces bacterial overgrowth<br/><br/>🌟<b</p>,Be Bodywise,,Skin,"skin, kit of 2, aha bha, roll on, watermelon, flora, mandelic acid, Be Bodywise, skin",TRUE,Title,Default Title,roll-on-flora-wm,0,shopify,100,continue,manual,798,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/roll-on-flora-wm/roll%20on%20pack%20of%202%20%28flora%20%2B%20wm%29_dxqhba.jpg?tr=w-600,1,Roll On Flora & Watermelon (Pack of 2),FALSE,Roll On Flora & Watermelon (Pack of 2),,,,,,new,FALSE,,,,,,,g,,,TRUE,798,,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"kit of 2,aha bha,roll on,watermelon,flora,mandelic acid"
ceramide-peptide-deal,1% Peptide & Ceramide Moisturizer,"<b>Lightweight, Non-Comedogenic gel based moisturizer that repairs skin barrier and makes skin soft & supple. Peptide promotes collagen production, slowing signs of ageing while Ceramide will help to",Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,ceramide-peptide-deal,0,shopify,100,continue,manual,349,498,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1-peptide-ceramide-moisturizer/Product_Hero_8i0olq.jpg?tr=w-600,1,1% Peptide & Ceramide Moisturizer,FALSE,1% Peptide & Ceramide Moisturizer,,,,,,new,FALSE,,,,,,,g,,,TRUE,349,498,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,
strawberry-skin-body-pigmentation-sampler-kit,Strawberry Skin and Body Pigmentation Sampler Kit,"<br/><b>Strawberry Skin & Body Pigmentation Sampler kit works to reduce bumps and pigmentation.🌟</b><br/><br/><b>1% Salicylic Acid Body Wash</b>: Exfoliates and removes dead skin cells, thereby unclog",Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,strawberry-skin-body-pigmentation-sampler-kit,0,shopify,100,continue,manual,299,564,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/strawberry-skin-body-pigmentation-sampler-kit/For%20%284%29_be705q.png?tr=w-600,1,Strawberry Skin and Body Pigmentation Sampler Kit,FALSE,Strawberry Skin and Body Pigmentation Sampler Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,299,564,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
underarm-body-pigmentation-pack-frag-free,Underarm & Body Pigmentation Pack - Fragrance Free,<b>#1 Dermatologist recommended kit to reduce underarm and body pigmentation. It is enriched with multiple high performing actives.🌟</b><br><br><b>Our Underarm and Body Pigmentation Pack contains:</b>,Be Bodywise,,Skin,"skin, normal, oily, sensitive, combination, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,underarm-body-pigmentation-pack-frag-free,0,shopify,100,continue,manual,1447,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/underarm-body-pigmentation-pack-frag-free/Underarm%20%26%20Body%20Pigmentation_lbiw2y.png?tr=w-600,1,Underarm & Body Pigmentation Pack - Fragrance Free,FALSE,Underarm & Body Pigmentation Pack - Fragrance Free,,,,,,new,FALSE,,,,,,,g,,,TRUE,1447,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"normal,oily,sensitive,combination,pores / blackheads / whiteheads,acne / pimples"
10-aha-body-scrub-mini,10% AHA Body Scrub - 25ml,"<br/>▶<b>Exfoliates dead skin cells:</b> This deep-cleansing body scrub contains natural silica beads, which help exfoliate dead skin cells and remove impurities.<br/><br/>▶<b>Removes tan:</b> Removal",Be Bodywise,,Skin,"skin, oily, sensitive, combination, pores / blackheads / whiteheads, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,10-aha-body-scrub-mini,0,shopify,100,continue,manual,999,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/10-aha-body-scrub-mini/thumbnail%20%282%29_czq022.jpg?tr=w-600,1,10% AHA Body Scrub - 25ml,FALSE,10% AHA Body Scrub - 25ml,,,,,,new,FALSE,,,,,,,g,,,TRUE,999,,active,skin,female,"female-18-25,female-25-35,female-35-plus",79,"oily,sensitive,combination,pores / blackheads / whiteheads,pores / blackheads / whiteheads,acne / pimples"
bath-essentials-sampler-kit,Bath Essentials Sampler Kit,<br/><b>Bath essentials sampler kit contains our highly effective bestsellers curated just for you. 🌟</b><br/><br/><b>1% Salicylic Acid Body Wash</b>: Gently exfoliates and removes dead skin cells. He,Be Bodywise,,Skin,"skin, Be Bodywise, skin",TRUE,Title,Default Title,bath-essentials-sampler-kit,0,shopify,100,continue,manual,327,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/bath-essentials-sampler-kit/Strawberry%20Skin%20-%20Advanced%20Hydration%20%283%29_b8dd2y.png?tr=w-600,1,Bath Essentials Sampler Kit,FALSE,Bath Essentials Sampler Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,327,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,
underarm-pigmentation-pcos,Underarm Pigmentation due to PCOS,"<b>For Underarm Pigmentation caused by PCOS, use:🌟</b><br><br><b>4% AHA BHA Underarm Roll On</b>: Mandelic Acid and Alpha Arbutin seep under the skin and slow down melanin production from within<br><b",Be Bodywise,,Hormones,"hormones, body, body care, pcos_subconcern, Be Bodywise, hormones",TRUE,Title,Default Title,underarm-pigmentation-pcos,0,shopify,100,continue,manual,799,986,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/underarm-pigmentation-pcos/Underarm%20Pigmentation%20%26%20PCOS_1nv71n.png?tr=w-600,1,Underarm Pigmentation due to PCOS,FALSE,Underarm Pigmentation due to PCOS,,,,,,new,FALSE,,,,,,,g,,,TRUE,799,986,active,hormones,female,"female-18-25,female-25-35,female-35-plus",70,"body,body care,pcos_subconcern"
4-aha-bha-body-butter-mini,4% AHA BHA Body Butter - 20g,"<b>4% AHA BHA Body Butter is a creamy and nourishing formula enriched with the goodness of 2% Salicylic Acid, 1% Lactic Acid, Essential Ceramides, Shea Butter & Cocoa Butter 🌟</b><br/><br/>▶Visibly re",Be Bodywise,,Skin,"skin, oily, sensitive, combination, pores / blackheads / whiteheads, pores / blackheads / whiteheads, acne / pimples, Be Bodywise, skin",TRUE,Title,Default Title,4-aha-bha-body-butter-mini,0,shopify,100,continue,manual,999,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/4-aha-bha-body-butter/Product_Hero_6or3g7.jpg?tr=w-600,1,4% AHA BHA Body Butter - 20g,FALSE,4% AHA BHA Body Butter - 20g,,,,,,new,FALSE,,,,,,,g,,,TRUE,999,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"oily,sensitive,combination,pores / blackheads / whiteheads,pores / blackheads / whiteheads,acne / pimples"
roll-on-sunscreen-gel,Underarm Pigmentation & Tan Reduction Kit,<p>Want to reduce severe underarm pigmentation in 5 months? 🤩<br><br>Our <b>Underarm Pigmentation Kit</b> contains:<br>🌟 <b>4% AHA BHA Underarm Roll On</b>: 1% Salicylic Acid reduces bacterial overgrowth</p>,Be Bodywise,,Skin,"skin, oily, sensitive, Be Bodywise, skin",TRUE,Title,Default Title,roll-on-sunscreen-gel,0,shopify,100,continue,manual,999,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/underarm-pigmentation-kit-no-fragrance/CR-60-2_c5o3ji.jpg?tr=w-600,1,Underarm Pigmentation & Tan Reduction Kit,FALSE,Underarm Pigmentation & Tan Reduction Kit,,,,,,new,FALSE,,,,,,,g,,,TRUE,999,,active,skin,female,"female-18-25,female-25-35,female-35-plus",70,"oily,sensitive"
